id,title,duration
GVZEcFkZUNo,Capitol Reef National Park 4K - Scenic Drive - Utah USA,1:01:18
YuqSAPMwQYU,Aspen 4K - Sunset Drive - USA,0:24:22
EDPxNqnhZNw,Arches National Park - Scenic Drive 4K HDR - Utah USA,1:32:51
6sTQ4FE36N0,Pike's Peak - Scenic Drive 4K HDR - Colorado USA,0:51:36
XbkHUJc2TvU,Driving Colorado 4K - Spring Season Rocky Mountains - Breckenridge to Vail,1:01:28
q-2sLKut66Q,Denver 4K HDR - Driving Downtown - Colorado USA,0:42:15
MR2HpoZyw2A,Rainy Malibu - Scenic Drive 4K HDR - Los Angeles USA,0:50:03
v7Td186ExUA,Rainy Los Angeles - Downtown Skidrow to Bel Air - Scenic Drive 4K HDR - USA,1:13:27
xYyUju0QVII,Driving Rainy New York City 4K  - Midtown Manhattan to Brooklyn's Island Beach - USA,0:47:10
auIy61og0j4,Rainy Brooklyn 4K - Driving Downtown - New York City USA,0:38:49
ab8GcoIe_3U,Rainy New York City  - Driving Downtown 4K HDR - Lower & Midtown Manhattan,1:22:46
1ktTQ1yAC8I,Driving New York City - 4K HDR - Airport to Times Square,0:56:00
R9Co1kc7NgU,Rainy Venice - Scenic Drive 4K HDR - Los Angeles USA,0:54:01
gdDCF1wknOg,Rainy Los Angeles - Sunset Strip to Downtown - Scenic Drive 4K HDR,0:56:50
QmV-4KcBGM0,Rainy Beverly Hills - Scenic Drive 4K HDR - Los Angeles USA,0:58:13
6c2EmwXIRRY,Rainy Hollywood Hills - Scenic Drive 4K HDR - Los Angeles USA,1:18:18
zegxPwDgOJc,New Video Up!  Rainy Downtown LA! ❤ #losangeles #dtla #4k #hdr #drivingdowntown #driving,0:00:28
JZ1fysJx0B4,Rainy Downtown Los Angeles - 4K HDR - Ambient Drive TV,1:02:42
yBrDLE78LOc,Driving in New Zealand #driving #4k #travel #auckland  #newzealand #citydrivetour,0:00:21
hV35bZK5MLs,Driving in Sydney Australia at Sunrise #driving #hdr #4k #travel #sydney  #australia  #citydrivetour,0:00:30
_fxg06j8SNY,Driving Sydney 4K HDR - Downtown Sunrise - Australia,0:36:12
ePVXT8qOhJY,Driving Kuala Lumpur 4K  - KLCC Sunrise Downtown - Malaysia,0:51:31
YR8QfNyMdD4,[Live🔴with Music] Winter Morning Drive in Downtown DC [4K HDR] - @DystopianSoundscapes,0:35:10
sY7ufpPpGhE,Driving DC 4K HDR - Downtown Winter Sunrise - USA,0:35:30
WRKXnQWfn_A,Driving Seoul 4K - Winter Morning - South Korea,0:46:43
2tfyoN70EHo,Driving Manila 4K - Skyscraper Districts - Driving Downtown,1:21:41
3ekXQoPqgjI,Driving Jakarta 4K - Worlds Fastest Sinking Megacity - Indonesia,0:45:40
AxQcSoA9vGQ,Driving Kuala Lumpur 4K - New York City of Malaysia,0:52:20
