url, title, duration
naz_RVh48vg, "[ Driving Japan ] Go to Mount Fuji and the lakes around it. 2023/May/16 Tue 3:36 am. 富士山", "8:53:25"
nABR88G_2cE, "ASMR Highway Driving at Night (No Talking, No Music) - Busan to Seoul, Korea", "3:54:53"
spJqqu2H8n4, "☔️Driving on the highway leading from Tokyo to the suburbs in heavy rain😴 for #Sleep #Work #Study", "10:19:33"
GxCb0pgO9Ig, "Relaxing 4K Snowy Drive in Norway | Geirangerfjord, Driving Sounds for Sleep and Study ASMR", "2:14:10"
TE2tfavIo3E, "Dubai 4K - Driving Downtown - Skyscraper Sunset", "1:18:14"
ZOZOqbK86t0, "4K Scenic Byway 12 | All American Road in Utah, USA - 5 Hour of Road Drive with Relaxing Music", "5:31:09"
7HaJArMDKgI, "Driving Downtown - New York City 4K - USA", "1:27:06"
40xZVEFVBuE, "Night Driving Seoul City | Gangnam and Expressway with Chill Lofi Hiphop Beats POV 4K HDR", "0:56:58"
FNTHBcHmrIg, "SLEEP Instantly Driving in Rain for Sleeping "Real Footage" Heavy Rain Noise On Highway Rain sounds", "8:02:55"
_Wyg213IZDI, "Driving Downtown - New York City 4K HDR - Downtown Manhattan", "0:51:53"
b-WViLMs_4c, "Driving in Switzerland 6: From Grindelwald to Lauterbrunnen | 4K 60fps", "0:40:02"
f6SL5XWWJUw, "[ Driving Japan ] I will go to a beautiful rural town in Tokyo. 2023/Apr/01 Sat 6:38 am. 奥多摩", "9:18:21"
qFwmkfQv7jw, "Driving in California Yosemite in 8K HDR Dolby Vision at Sunset", "2:48:56"
CEP_64Ka43U, "[ Driving Japan ] Tokyo Spiderweb Highway. Relax and sleep. 2023/Jan/05 Thu 2:41 pm. 首都高速", "6:00:38"
eR5vsN1Lq4E, "Los Angeles 4K - California Glow - Scenic Drive", "0:40:21"
WZqDgm1DhDM, "Driving Las Vegas in 8K HDR Dolby Vision - Zion Utah to Las Vegas Nevada", "2:43:02"
YqcMq9tEw0g, "Driving Los Angeles 8K HDR Dolby Vision - Bel Air to Downtown LA (Los Santos)", "2:16:04"
TPKN_FZ4sqw, "Driving Entire Los Angeles Coastline 8K HDR Dolby Vision - San Clemente to Malibu (Los Santos)", "4:58:22"
_VwmNdw5BYc, "[ Driving Japan ] From central Tokyo to Izu, Hakone. Mt.Fuji. 2022/Nov/19 Sat 4:46 am. 伊豆半島", "10:44:58"
u3_2gAuPjxM, "Driving Southern California Coast in 8K Dolby Vision HDR - Palos Verdes to San Diego", "3:17:02"
Cod_ggrs69U, "Miami 4K - Night Drive", "1:08:14"
NKPDY9uqE5s, "[ Driving Japan ] I went to see the sunset and night view. 2023/Dec/13 Wed 1:51 pm.", "6:19:48"
aoLbaJN8qKA, "Driving Los Angeles in 8K HDR Dolby Vision - Santa Monica to Palos Verdes California", "1:52:23"
xaoj5FfVleQ, "☔️Driving on a highway in #HeavyRain😴for sleep,work,study", "10:20:37"



